"id", "quoted_status_id"
"647123923788824576", "647123281615679488"
"647123934534598660", "646791727664074752"
"647123935721603072", "647109918785445888"
"647124098544480256", "647103865804988416"
"647124243881304064", "647123530572791808"
"647124249291845632", "647118971519549440"
"647124259534426112", "647092567113383936"
"647124364131962881", "647122000079667200"
"647124375494361088", "647122321262682112"
"647124609096110080", "647066466999762944"
"647124713567862786", "646356581102264321"
"647124745012531201", "647098383614758912"
"647125011371794432", "647123456367153152"
"647125059061055492", "647121160497430528"
"647125543079571456", "647121171478089728"
"647125557113692160", "647124774817275904"
"647125952028372992", "647119604628746240"
"647126122971426821", "647043396121534466"
"647126185789538304", "647111489225142273"
"647126285546856448", "647126029362982912"
"647126375976071168", "647123293032554496"
"647126812078833665", "647110040705482752"
"647127021634629632", "647004717546098688"
"647127039003262976", "647043370779590656"
"647127112164470784", "647038933579251712"
"647127837498036224", "647104209809240064"
"647128217694957568", "647127017314516993"
"647128475975946240", "647127692761006080"
"647128776757891072", "643674898578165760"
"647128782952878080", "647117847068606464"
"647128895054082048", "644512467746430976"
"647128986691194881", "646723371187720192"
"647129036737642496", "647117981533798400"
"647129542306471936", "647120383955615744"
"647129574829125632", "647117847068606464"
"647129857382551552", "647022306259259392"
"647130220701614080", "647129545980649473"
"647130484774993920", "647129789447454720"
"647130565766946818", "647119755153944576"
"647130612361502720", "647130066921648128"
"647130689889017858", "647066490374524928"
"647130795858116608", "647124430754304001"
"647131040415416320", "647130409394929664"
"647131184577781760", "647129652708933632"
"647131312747376640", "647126333651296256"
"647131487075217409", "647125494278787072"
"647131631531257856", "645840810232168448"
"647132088307728384", "647119604628746240"
"647132103419797504", "647066565251321857"
"647132169803055104", "647119842651308032"
"647132275470110720", "647130808881430528"
"647133113840218112", "647130409394929664"
"647133326554341376", "647129652708933632"
"647133373836718081", "647130617289830400"
"647133613029490688", "647132805751787524"
"647133684953423873", "647119604628746240"
"647133880294735872", "647133430891814914"
"647134303483260928", "647124433031831552"
"647134639300182016", "647133289749348352"
"647134651212013569", "647134105868599296"
"647134753540427776", "647103173975494656"
"647134934382080000", "647133430891814914"
"647135168273248257", "647130409394929664"
"647135173352509440", "646639452241199105"
"647135230780903424", "647126333651296256"
"647135820395192320", "647126333651296256"
"647136056454856704", "647133425166585856"
"647136147433484288", "647118756288856064"
"647136168086249472", "647133498239795200"
"647136190752247810", "644601937984405504"
"647136213305008128", "647126333651296256"
"647136300915650560", "647123935499259904"
"647136495141277697", "647117043360247808"
"647136609121497090", "647092567113383936"
"647136738427707392", "647063050898436096"
"647136812633300992", "647135820395192320"
"647136894464172032", "647100814318768129"
"647137160454385664", "647136828743680000"
"647137393406033920", "647133498239795200"
"647137675426697216", "647134691070361600"
"647137735225016320", "647117043360247808"
"647138013689049088", "647001963805085696"
"647138019338780673", "647103173975494656"
